Upfront_charges,Interest_rate_spread,credit_type,rate_of_interest,dtir1
3000.0,0.1768,3,4.5,48.0
944.0,1.148,0,4.56,30.0
2596.45,0.4416556604868295,2,3.99,31.0
904.89,0.1932,0,3.875,31.0
1062.91,1.0592,3,4.625,36.0
7285.34,0.542,3,5.25,49.0
2596.45,0.4416556604868295,0,3.99,8.0
158.36,0.0075,3,3.625,41.0
2596.45,0.4416556604868295,2,3.99,16.0
0.0,0.6485,0,3.5,37.73293242017198
1789.5,0.3688,3,3.99,26.0
2596.45,0.4416556604868295,2,3.99,43.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,0,3.99,32.0
2321.6,0.2095,0,4.125,33.0
2586.42,1.5647,3,4.5,40.0
2596.45,0.4416556604868295,0,3.99,49.0
3257.57,0.9437,3,4.5,44.0
0.0,-0.185,0,3.99,46.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
742.54,0.7205,3,3.99,44.0
4325.0,0.3597,3,3.99,40.0
2596.45,0.4416556604868295,3,3.99,37.73293242017198
4582.38,0.8509,3,4.99,39.0
0.0,0.4977,2,3.125,37.73293242017198
9827.03,0.106,2,3.99,36.0
5658.11,0.5903,3,4.125,41.0
1365.68,0.4584,3,3.99,42.0
1195.5,0.3138,2,4.0,46.0
995.0,1.423,3,5.19,44.0
4250.0,0.0871,3,3.75,41.0
2323.07,0.4881,3,3.99,60.0
4644.08,0.5411,0,4.5,41.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,2,3.99,46.0
0.0,0.6398,2,4.125,46.0
0.0,-0.1967,3,3.5,22.0
5004.0,-0.0164,3,3.5,32.0
795.0,0.25,0,3.875,46.0
3518.75,0.7355,0,3.625,44.0
0.0,-0.0547,0,4.18,35.0
6297.29,0.5621,2,3.99,41.0
1247.93,-0.4236,0,3.125,37.73293242017198
6095.0,0.3314,3,3.875,36.0
9742.75,0.7816,0,4.625,22.0
6543.48,0.9599,2,4.5,35.0
0.0,1.4794,3,4.625,31.0
1684.77,-0.0871,0,3.5,37.73293242017198
2596.45,0.4416556604868295,2,3.99,13.0
0.0,0.1028,3,3.75,37.73293242017198
0.0,-0.0226,3,4.125,44.0
730.88,0.0932,0,4.375,41.0
3674.38,1.3906,2,5.75,24.0
2596.45,0.4416556604868295,3,3.99,39.0
1887.5,0.1401,0,4.18,49.0
4975.55,0.127,2,3.625,48.0
0.0,0.6044,0,3.375,37.0
758.11,1.6093,0,4.75,44.0
3245.0,0.3639,3,3.625,24.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2158.48,0.0522,2,3.875,41.0
3790.0,0.3858,3,3.875,38.0
331.45,0.0112,0,3.625,20.0
0.0,-0.023,0,3.625,49.0
2596.45,0.4416556604868295,3,3.99,47.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
4200.0,0.044,0,3.625,30.0
14750.0,1.4611,3,4.875,48.0
5515.0,0.3843,0,4.5,38.0
1865.88,0.7052,3,3.625,29.0
1990.0,0.374,0,3.875,38.0
2660.0,1.5019,3,4.875,45.0
660.0,1.3465,3,5.5,49.0
0.0,0.104,3,3.25,16.0
2625.0,1.0773,2,4.5,45.0
2596.45,0.4416556604868295,3,3.99,48.0
2596.45,0.4416556604868295,3,3.99,46.0
12200.0,-0.0066,2,3.99,41.0
5510.0,1.0645,3,3.99,56.0
0.0,0.2452,0,3.99,37.73293242017198
2596.45,0.4416556604868295,1,3.99,37.73293242017198
46.88,-0.1982,2,3.875,45.0
0.0,-0.0523,2,3.625,22.0
